MTBLS ID	Study Type
MTBLS762	UPLC-TOF-MS
MTBLS763	GC-Q-MS;UPLC-LTQ-MS
MTBLS767	GC-TOF-MS;UPLC-QTOF-MS/MS
MTBLS769	LMJ-SSP/ESI imaging MS;MALDI imaging MS
MTBLS770	UPLC-QTOF-MS/MS
MTBLS771	UPLC-TOF-MS;UPLC-LTQ-MS
MTBLS772	UPLC-TOF-MS;UPLC-LTQ-MS
MTBLS773	HPLC-LTQ-MS/MS
MTBLS775	UPLC-LTQ-MS
MTBLS780	GC-Q-MS
MTBLS788	LC-LTQ-MS
MTBLS789	GC-TOF-MS
MTBLS793	LC-LTQ-MS
MTBLS803	GC-Q-MS
MTBLS821	LC-LTQ-MS
MTBLS822	LC-LTQ-MS
MTBLS824	LC-LTQ-MS
MTBLS826	GC-Q-MS
MTBLS836	FIA-LTQ-MS
MTBLS839	GC-Q-MS
MTBLS842	SESI-LTQ-MS
MTBLS843	GC-Q-MS
MTBLS844	GC-Q-MS
MTBLS848	GC-Q-MS
MTBLS849	GC-Q-MS
MTBLS869	MAS-NMR
