studyID	organismPart
MTBLS688	BTO:fruit
MTBLS688	BTO:leaf
MTBLS688	root
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS689	urine 
MTBLS690	subcutaneous adipose tissue
MTBLS691	phosphate buffered saline
MTBLS691	blood plasma
MTBLS691	blood plasma
MTBLS691	solvent
MTBLS692	root
MTBLS693	pericarp
MTBLS694	Blank
MTBLS694	urine
MTBLS695	macrophage
MTBLS696	RAW-264.7 cell
MTBLS697	phosphate buffered saline
MTBLS697	solvent
MTBLS697	blood plasma
MTBLS697	blood plasma
MTBLS698	hemolymph
MTBLS698	Prothorax plus head
MTBLS698	whole body
MTBLS699	mixture
MTBLS699	fruit
MTBLS700	blood serum
MTBLS701	seed
MTBLS703	whole organism
MTBLS704	blood plasma
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS705	culture supernatant
MTBLS706	bloodstream form
MTBLS707	whole alga
MTBLS707	whole alga
MTBLS707	whole alga
MTBLS707	whole alga
MTBLS708	whole organism
MTBLS709	blank value
MTBLS709	above-ground gametophyte without roots
MTBLS709	above-ground gametophyte without roots
MTBLS709	above-ground gametophyte without roots
MTBLS709	above-ground gametophyte without roots
MTBLS709	above-ground gametophyte without roots
MTBLS709	above-ground gametophyte without roots
MTBLS709	above-ground gametophyte without roots
MTBLS709	above-ground gametophyte without roots
MTBLS709	above-ground gametophyte without roots
MTBLS710	blood plasma
MTBLS711	
MTBLS712	
MTBLS713	
MTBLS714	
MTBLS715	
MTBLS716	
MTBLS717	
MTBLS718	
MTBLS719	
